Entity,Code,Day,deaths_per_million,rolling_7d,year,month,quarter,is_weekend,daily_change,pct_change
United States,USA,2022-02-11,7.62024,7.732937085714286,2022,2022-02,2022Q1,False,-0.08909400000000023,-0.011556640301224497
United States,USA,2022-02-12,7.563354,7.688061514285714,2022,2022-02,2022Q1,True,-0.05688599999999955,-0.00746511920884374
United States,USA,2022-02-13,7.3408284,7.622092571428571,2022,2022-02,2022Q1,True,-0.2225256,-0.029421550280470776
United States,USA,2022-02-14,7.2216187,7.554749342857143,2022,2022-02,2022Q1,False,-0.11920970000000075,-0.01623927076132181
United States,USA,2022-02-15,7.227056,7.500791057142856,2022,2022-02,2022Q1,False,0.005437300000000533,0.0007529198405338278
United States,USA,2022-02-16,7.08986,7.396041585714285,2022,2022-02,2022Q1,False,-0.13719600000000032,-0.018983663610742774
United States,USA,2022-02-17,6.908326,7.281611871428572,2022,2022-02,2022Q1,False,-0.18153400000000008,-0.025604736905947334
United States,USA,2022-02-18,6.7840967,7.162162828571428,2022,2022-02,2022Q1,False,-0.12422929999999965,-0.017982547436238505
United States,USA,2022-02-19,6.674089,7.035124971428572,2022,2022-02,2022Q1,True,-0.11000769999999971,-0.016215526526914048
United States,USA,2022-02-20,6.429813,6.904979914285714,2022,2022-02,2022Q1,True,-0.24427600000000016,-0.03660065066558149
United States,USA,2022-02-21,6.323988,6.776746957142857,2022,2022-02,2022Q1,False,-0.10582500000000028,-0.01645848798402072
United States,USA,2022-02-22,6.2658467,6.639431342857144,2022,2022-02,2022Q1,False,-0.05814129999999995,-0.009193771398680717
United States,USA,2022-02-23,5.482407,6.4097952000000005,2022,2022-02,2022Q1,False,-0.7834396999999997,-0.1250333334838849
United States,USA,2022-02-24,5.4330497,6.199041442857143,2022,2022-02,2022Q1,False,-0.04935730000000049,-0.009002852214365031
United States,USA,2022-02-25,5.3924766,6.000238571428572,2022,2022-02,2022Q1,False,-0.040573099999999584,-0.007467831556924542
United States,USA,2022-02-26,5.464421,5.8274288571428565,2022,2022-02,2022Q1,True,0.07194439999999958,0.013341624885307768
United States,USA,2022-02-27,5.4568915,5.688440071428572,2022,2022-02,2022Q1,True,-0.007529499999999523,-0.001377913597799152
United States,USA,2022-02-28,5.3983326,5.556203585714286,2022,2022-02,2022Q1,False,-0.05855890000000041,-0.010731182762200864
United States,USA,2022-03-01,5.302964,5.418648914285714,2022,2022-03,2022Q1,False,-0.09536859999999958,-0.017666306814811628
United States,USA,2022-03-02,5.805738,5.464839057142856,2022,2022-03,2022Q1,False,0.5027739999999996,0.09480999682441738
United States,USA,2022-03-03,5.2699203,5.441534857142857,2022,2022-03,2022Q1,False,-0.5358177,-0.09229105757097544
United States,USA,2022-03-04,4.820268,5.359790771428572,2022,2022-03,2022Q1,False,-0.44965229999999945,-0.08532430746628172
United States,USA,2022-03-05,4.3501205,5.200604985714286,2022,2022-03,2022Q1,True,-0.4701475000000004,-0.0975355519651605
United States,USA,2022-03-06,4.048122,4.9993522,2022,2022-03,2022Q1,True,-0.30199849999999984,-0.0694230194313008
United States,USA,2022-03-07,3.9418786,4.791287342857143,2022,2022-03,2022Q1,False,-0.10624340000000032,-0.026245108225493308
United States,USA,2022-03-08,3.9448066,4.597264857142856,2022,2022-03,2022Q1,False,0.0029280000000002637,0.0007427930428909324
United States,USA,2022-03-09,3.6218936,4.285287085714286,2022,2022-03,2022Q1,False,-0.3229130000000002,-0.08185775191108235
United States,USA,2022-03-10,3.5231795,4.035752685714286,2022,2022-03,2022Q1,False,-0.09871410000000003,-0.027254831561037585
United States,USA,2022-03-11,3.6992757,3.8756109285714286,2022,2022-03,2022Q1,False,0.17609619999999993,0.04998218228733453
United States,USA,2022-03-12,3.654938,3.7762991428571433,2022,2022-03,2022Q1,True,-0.04433769999999981,-0.011985508406415879
United States,USA,2022-03-13,3.5997248,3.7122424,2022,2022-03,2022Q1,True,-0.05521319999999985,-0.015106466922284234
United States,USA,2022-03-14,3.6766884,3.6743580857142857,2022,2022-03,2022Q1,False,0.07696360000000002,0.021380412191509768
